,visitors,sales,conversion,avg_order_value,income
2024-01-01,2167,75,0.0329938976405708,89.75364009076588,6731.523006807442
2024-01-02,1983,52,0.036120462409052,91.4509016579912,4755.446886215542
2024-01-03,2226,86,0.0350629620039089,70.7949794995063,6088.368236957542
2024-01-04,2495,54,0.0354883804927441,100.0613590914796,5403.313390939898
2024-01-05,1976,82,0.0311349510807226,94.49268662933429,7748.40030360541
2024-01-06,1483,46,0.0251225508712947,101.1462075824275,4652.725548791665
2024-01-07,2035,61,0.0274899914562272,62.35040142030594,3803.3744866386623
2024-01-08,2300,116,0.0422557180389752,112.35205155895268,13032.837980838509
2024-01-09,1937,110,0.039796354130426,90.23621209563396,9925.983330519735
2024-01-10,2249,123,0.0457659122875577,102.8861464291183,12654.996010781551
2024-01-11,1957,24,0.0311632621855597,81.58582386405693,1958.0597727373663
2024-01-12,1965,51,0.0393616031836033,98.3014885432498,5013.375915705739
2024-01-13,1687,31,0.0259167100286917,81.83670573676439,2536.937877839696
2024-01-14,1050,38,0.0359490146660883,86.33847074748194,3280.861888404313
2024-01-15,1617,60,0.0309585085732242,111.92989915458878,6715.793949275327
2024-01-16,1976,46,0.0308013907890961,91.10424990279924,4190.795495528765
2024-01-17,1852,63,0.0320030367727798,95.41488833801075,6011.137965294678
2024-01-18,2261,40,0.0243805213784509,102.17865200858664,4087.1460803434657
2024-01-19,1905,49,0.0323712248915962,98.68006772539876,4835.323318544539
2024-01-20,1265,0,0.0212043366922315,95.48049840954786,0.0
2024-01-21,2140,36,0.025751968932381,97.88669127638816,3523.920885949974
2024-01-22,2145,51,0.0367087798788858,118.53964310655692,6045.521798434404
2024-01-23,2245,80,0.0443808541960794,94.2052598606298,7536.420788850383
2024-01-24,1810,93,0.0397521191909302,97.07587167617544,9028.056065884315
2024-01-25,2087,48,0.0321154817216879,105.8622473610037,5081.387873328177
2024-01-26,2296,122,0.0305079266432582,106.709087559359,13018.508682241798
2024-01-27,1431,49,0.0274595958575325,107.8294704103635,5283.644050107811
2024-01-28,1902,38,0.0183988339648967,102.65893251758853,3901.039435668364
2024-01-29,2123,76,0.0441572938292717,85.1610753405719,6472.241725883464
2024-01-30,2230,105,0.0408972006036064,113.2518705164928,11891.446404231743
2024-01-31,2151,58,0.0326541217394764,85.78737181545625,4975.667565296462
2024-02-01,2901,79,0.0264343273545456,100.61719202149368,7948.758169698
2024-02-02,2356,149,0.041769361870827,90.39473081088686,13468.81489082214
2024-02-03,1558,36,0.0244273007737369,97.64929538519272,3515.374633866938
2024-02-04,2137,89,0.0311890815598673,101.93792543458156,9072.47536367776
