Timestamp;Ви працюєте зараз в ІТ?;Де ви зараз живете? ;В якій області ви зараз живете?;Зарплата у $$$ за місяць, лише ставка після сплати податків;Ваша стать;Ваш вік;Яка у вас освіта?;Чи є у вас науковий ступінь? ;Знання англійської мови;Оберіть вашу посаду;Ваш тайтл;Ваша спеціалізація;Вкажіть вашу спеціалізацію;Оберіть вашу спеціалізацію;Ваша посада;Оберіть вашу посаду2;Ваша посада3;Ваша посада4;Ваша посада5;Ваша посада6;Ваша посада7;Чи використовуєте ви у своїй роботі мови програмування (одну чи декілька)?;Основна мова програмування;Вкажіть вашу основну спеціалізацію;В якій сфері працюєте?;Тип компанії;Загальний стаж роботи за спеціальністю
11.30.2022 10:26:37;Так, працюю part-time;В Україні;Івано-Франківськ чи область;4000;Чоловік;29;Вища (бакалавр, спеціаліст, магістр);Немає;Intermediate;Designer / Artist (Graphic, UX/UI, Game, Artist, Sound etc.);Team Lead;;;Product Designer;;;;;;;;;;;Blockchain;Стартап;8 років
11.30.2022 10:26:39;Так, працюю full-time;За кордоном (переїхали через війну, але планую повернутися);;;Чоловік;36;Вища (бакалавр, спеціаліст, магістр);Немає;Advanced;Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect);Middle;;;;;;;;;;;;Ruby;Full Stack розробка;Public services / Government;Продуктова;3 роки
11.30.2022 10:26:58;Так, працюю full-time;В Україні;Київ чи область;2500;Чоловік;34;Вища (бакалавр, спеціаліст, магістр);Немає;Elementary;Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect);Middle;;;;;;;;;;;;C# / .NET;Full Stack розробка;Adtech / Advertising, Security, Telecom;Продуктова;4 роки
11.30.2022 10:27:31;Так, працюю full-time;В Україні;Львів чи область;500;Жінка;23;Вища (бакалавр, спеціаліст, магістр);Немає;Pre-Intermediate;QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager);Junior;;Manual QA;;;;;;;;;Ні, не використовую;;;Telecom;Продуктова;Пів року
11.30.2022 10:27:34;Ні, тимчасово не працюю;В Україні;Житомир чи область;2800;Жінка;33;Вища (бакалавр, спеціаліст, магістр);Немає;Upper-Intermediate;QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager);Senior;;Manual QA;;;;;;;;;Ні, не використовую;;;Automotive;Продуктова;6 років
11.30.2022 10:27:38;Так, працюю full-time;В Україні;Київ чи область;5500;Чоловік;31;Вища (бакалавр, спеціаліст, магістр);Немає;Pre-Intermediate;Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect);Senior;;;;;;;;;;;;PHP;Back-end  розробка;E-commerce, Fintech / Banking;Продуктова;8 років
11.30.2022 10:27:42;Так, працюю full-time;В Україні;Київ чи область;1400;Чоловік;30;Вища (бакалавр, спеціаліст, магістр);Немає;Intermediate;QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager);Middle;;Manual QA;;;;;;;;;Ні, не використовую;;;Media, Mobile;Аутсорсингова;1,5 року
11.30.2022 10:27:44;Так, працюю full-time;В Україні;Львів чи область;1200;Чоловік;24;Вища (бакалавр, спеціаліст, магістр);Немає;Upper-Intermediate;Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect);Junior;;;;;;;;;;;;C# / .NET;Full Stack розробка;E-commerce, Logistics;Аутсорсингова;1,5 року
11.30.2022 10:28:00;Так, працюю full-time;В Україні;Львів чи область;650;Чоловік;27;Вища (бакалавр, спеціаліст, магістр);Немає;Intermediate;QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager);Junior;;General QA;;;;;;;;;Так, використовую;Python;QA;Automotive;Аутсорсингова;1 рік
11.30.2022 10:28:00;Так, працюю full-time;За кордоном (переїхали через війну, але планую повернутися);;;Чоловік;17;Ще студент вишу;Немає;Advanced;Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect);Middle;;;;;;;;;;;;C# / .NET;Full Stack розробка;Інша;Аутсорсингова;2 роки
